id_question;question;image_elle;image_lui
1;Qui est le plus gaga de Mumu ?;PXL_20250731_182921123.jpg;20250731_212731.jpg
2;Qui s’excuse en premier ?;IMG_0559.JPG;guillaume5.jpg
3;Qui conduit le mieux ?;APTRIBUNES-20240928154056069.jpg;APTRIBUNES-20240928154104087.jpg
4;Qui est le plus compétitif ?;PXL_20240806_145312850.jpg;guillaume6.jpg
5;Qui est le plus susceptible de manger quelque chose tombé par terre ?;20250227_152229.jpg;guillaume9.jpg
6;Qui pose le plus de questions pendant les films ?;PXL_20250517_144549183.jpg;20250517_131543.jpg
7;Qui cuisine le mieux ?;image0000001~3.jpg;ef41f3b4-1517-4926-ba6e-d4e909329ab7~1.jpg
8;Qui était le plus présent en cours ?;PXL_20250830_234921183.jpg;guillaume11.jpg
9;Qui est le plus susceptible de rire au mauvais moment ?;APROGNOU2-20240928112156000.jpg;guillaume4.jpg
10;Qui serait le plus susceptible de survivre à une attaque zombie ?;alice2.jpg;guillaume7.jpg
11;Qui est le plus canard  ?;APXK-20240928113720023.jpg;guillaume3.jpg
12;Qui fait les meilleures grimaces;alice1.jpg;guillaume2.jpg
13;Qui danse le mieux ?;PXL_20250918_172248414.jpg;guillaume1.jpg
14;Qui était le plus présent en cours ?;FB_IMG_1641526803600.jpg;guillaume10.jpg
15;Qui a fait l'ultimatum a l'autre pour se mettre en couple ?;alice3.jpg;guillaume8.jpg